age,job,marital,education,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
39,management,divorced,university,no,no,telephone,may,mon,207,1,999,0,nonexistent,no
39,management,married,university,yes,no,telephone,may,mon,193,1,999,0,nonexistent,no
42,blue-collar,married,basic,no,no,telephone,may,mon,541,1,999,0,nonexistent,no
56,entrepreneur,married,unknown,no,no,telephone,may,mon,204,1,999,0,nonexistent,no
37,entrepreneur,married,basic,no,no,telephone,may,mon,85,1,999,0,nonexistent,no
38,services,married,high_school,yes,yes,telephone,may,mon,506,1,999,0,nonexistent,no
45,technician,married,university,yes,yes,telephone,may,mon,292,1,999,0,nonexistent,no
44,services,married,high_school,yes,yes,telephone,may,mon,107,1,999,0,nonexistent,no
37,blue-collar,married,basic,no,no,telephone,may,mon,270,1,999,0,nonexistent,no
46,blue-collar,married,basic,yes,no,telephone,may,mon,240,1,999,0,nonexistent,no
36,admin,married,university,yes,no,telephone,may,mon,233,3,999,0,nonexistent,no
34,admin,married,university,yes,no,telephone,may,mon,138,1,999,0,nonexistent,no
40,admin,married,basic,yes,no,telephone,may,mon,683,2,999,0,nonexistent,no
44,blue-collar,married,basic,yes,no,telephone,may,mon,172,1,999,0,nonexistent,no
35,student,single,university,yes,yes,telephone,may,mon,217,1,999,0,nonexistent,no
35,unemployed,married,university,no,no,telephone,may,mon,67,1,999,0,nonexistent,no
55,housemaid,divorced,university,no,no,telephone,may,mon,286,1,999,0,nonexistent,no
59,admin,married,university,no,no,telephone,may,mon,477,1,999,0,nonexistent,no
35,admin,married,high_school,yes,no,telephone,may,mon,216,2,999,0,nonexistent,no
40,technician,married,basic,no,no,telephone,may,mon,168,1,999,0,nonexistent,no
39,admin,married,university,yes,no,telephone,may,mon,580,2,999,0,nonexistent,no
50,services,divorced,university,yes,no,telephone,may,mon,165,1,999,0,nonexistent,no
39,admin,married,high_school,no,no,telephone,may,mon,357,1,999,0,nonexistent,no
52,self-employed,married,university,no,no,telephone,may,mon,175,1,999,0,nonexistent,no
44,admin,married,university,yes,no,telephone,may,mon,300,1,999,0,nonexistent,no
48,admin,married,high_school,no,no,telephone,may,mon,125,2,999,0,nonexistent,no
30,technician,married,university,no,no,telephone,may,mon,40,1,999,0,nonexistent,no
32,technician,single,university,no,no,telephone,may,mon,79,1,999,0,nonexistent,no
36,blue-collar,single,high_school,no,yes,telephone,may,mon,389,1,999,0,nonexistent,no
41,blue-collar,married,basic,yes,no,telephone,may,mon,211,1,999,0,nonexistent,no
43,technician,married,unknown,yes,no,telephone,may,mon,200,1,999,0,nonexistent,no
33,admin,married,high_school,no,yes,telephone,may,mon,50,1,999,0,nonexistent,no
27,blue-collar,single,basic,no,no,telephone,may,mon,350,1,999,0,nonexistent,no
34,self-employed,single,university,yes,no,telephone,may,mon,150,2,999,0,nonexistent,no
50,blue-collar,married,basic,no,no,telephone,may,mon,463,1,999,0,nonexistent,no
47,blue-collar,married,basic,no,no,telephone,may,mon,92,2,999,0,nonexistent,no
53,admin,married,basic,no,no,telephone,may,mon,189,3,999,0,nonexistent,no
36,services,married,high_school,no,no,telephone,may,mon,225,2,999,0,nonexistent,no
46,blue-collar,married,unknown,no,no,telephone,may,mon,209,2,999,0,nonexistent,no
40,management,married,university,yes,no,telephone,may,mon,358,2,999,0,nonexistent,no
33,admin,divorced,high_school,no,no,telephone,may,mon,364,2,999,0,nonexistent,no
42,blue-collar,married,basic,no,no,telephone,may,mon,173,2,999,0,nonexistent,no
54,management,single,basic,yes,no,telephone,may,mon,224,3,999,0,nonexistent,no
40,services,married,basic,no,no,telephone,may,mon,199,3,999,0,nonexistent,no
40,housemaid,single,university,no,no,telephone,may,mon,111,4,999,0,nonexistent,no
36,blue-collar,single,high_school,yes,yes,telephone,may,mon,402,3,999,0,nonexistent,no
52,technician,married,high_school,yes,no,telephone,may,mon,503,2,999,0,nonexistent,no
55,technician,married,university,no,no,telephone,may,mon,113,2,999,0,nonexistent,no
43,unemployed,single,university,no,no,telephone,may,mon,404,4,999,0,nonexistent,no
32,blue-collar,married,basic,no,no,telephone,may,mon,98,2,999,0,nonexistent,no
45,technician,married,high_school,yes,no,telephone,may,tue,168,3,999,0,nonexistent,no
36,technician,married,university,no,no,telephone,may,tue,210,1,999,0,nonexistent,no
49,blue-collar,married,basic,yes,no,telephone,may,tue,64,1,999,0,nonexistent,no
56,management,divorced,high_school,no,no,telephone,may,tue,218,1,999,0,nonexistent,no
22,blue-collar,single,basic,yes,no,telephone,may,tue,195,1,999,0,nonexistent,no
49,admin,married,university,yes,yes,telephone,may,tue,18,1,999,0,nonexistent,no
28,unknown,single,unknown,yes,yes,telephone,may,tue,1201,1,999,0,nonexistent,yes
59,retired,unknown,university,no,no,telephone,may,tue,253,1,999,0,nonexistent,no
35,admin,married,university,no,no,telephone,may,tue,144,1,999,0,nonexistent,no
36,technician,married,university,no,no,telephone,may,tue,769,2,999,0,nonexistent,no
29,blue-collar,divorced,basic,no,no,telephone,may,tue,231,1,999,0,nonexistent,no
48,services,married,high_school,unknown,unknown,telephone,may,tue,152,1,999,0,nonexistent,no
43,unemployed,married,university,yes,no,telephone,may,tue,424,1,999,0,nonexistent,no
41,admin,married,high_school,no,no,telephone,may,tue,483,1,999,0,nonexistent,no
30,blue-collar,married,basic,no,no,telephone,may,tue,227,1,999,0,nonexistent,no
39,self-employed,single,basic,yes,yes,telephone,may,tue,90,1,999,0,nonexistent,no
27,services,married,high_school,yes,no,telephone,may,tue,245,1,999,0,nonexistent,no
43,technician,married,university,yes,no,telephone,may,tue,225,1,999,0,nonexistent,no
43,self-employed,divorced,university,no,no,telephone,may,tue,87,1,999,0,nonexistent,no
30,self-employed,single,university,yes,no,telephone,may,tue,262,1,999,0,nonexistent,no
51,services,married,unknown,no,no,telephone,may,tue,141,1,999,0,nonexistent,no
32,blue-collar,divorced,basic,no,no,telephone,may,tue,309,2,999,0,nonexistent,no
57,technician,married,basic,no,yes,telephone,may,tue,50,1,999,0,nonexistent,no
60,management,married,university,no,no,telephone,may,tue,451,2,999,0,nonexistent,no
31,blue-collar,single,basic,yes,no,telephone,may,tue,182,1,999,0,nonexistent,no
44,admin,married,high_school,yes,yes,telephone,may,tue,177,1,999,0,nonexistent,no
57,management,married,university,yes,no,telephone,may,tue,699,3,999,0,nonexistent,no
39,blue-collar,married,basic,no,no,telephone,may,tue,114,1,999,0,nonexistent,no
38,services,married,high_school,yes,no,telephone,may,tue,169,1,999,0,nonexistent,no
42,retired,married,basic,no,no,telephone,may,tue,145,1,999,0,nonexistent,no
49,unknown,married,unknown,yes,no,telephone,may,tue,288,1,999,0,nonexistent,no
54,management,married,basic,yes,yes,telephone,may,tue,381,1,999,0,nonexistent,no
56,technician,married,unknown,yes,no,telephone,may,tue,174,2,999,0,nonexistent,no
41,services,married,basic,no,no,telephone,may,tue,157,2,999,0,nonexistent,no
53,admin,married,university,yes,no,telephone,may,tue,233,2,999,0,nonexistent,no
56,entrepreneur,married,university,no,no,telephone,may,tue,153,1,999,0,nonexistent,no
43,entrepreneur,married,high_school,no,no,telephone,may,tue,166,2,999,0,nonexistent,no
59,entrepreneur,married,high_school,yes,no,telephone,may,tue,91,1,999,0,nonexistent,no
39,blue-collar,married,basic,no,no,telephone,may,tue,198,1,999,0,nonexistent,no
38,admin,married,high_school,no,no,telephone,may,tue,145,1,999,0,nonexistent,no
36,admin,married,high_school,no,no,telephone,may,tue,342,2,999,0,nonexistent,no
38,admin,single,basic,no,no,telephone,may,tue,250,1,999,0,nonexistent,no
50,blue-collar,married,basic,unknown,unknown,telephone,may,tue,153,1,999,0,nonexistent,no
42,entrepreneur,married,basic,no,no,telephone,may,tue,179,2,999,0,nonexistent,no
42,blue-collar,married,high_school,no,yes,telephone,may,tue,1297,3,999,0,nonexistent,yes
39,blue-collar,married,basic,yes,no,telephone,may,tue,502,1,999,0,nonexistent,no
35,admin,divorced,university,unknown,unknown,telephone,may,tue,179,1,999,0,nonexistent,no
49,entrepreneur,married,university,unknown,unknown,telephone,may,tue,524,2,999,0,nonexistent,no
45,housemaid,married,high_school,no,no,telephone,may,tue,352,2,999,0,nonexistent,no
34,admin,single,university,no,yes,telephone,may,tue,262,2,999,0,nonexistent,no
41,management,married,university,no,no,telephone,may,tue,174,2,999,0,nonexistent,no
32,technician,married,university,no,no,telephone,may,tue,1906,3,999,0,nonexistent,no
48,admin,married,university,yes,no,telephone,may,tue,92,2,999,0,nonexistent,no
34,services,married,high_school,no,no,telephone,may,tue,193,1,999,0,nonexistent,no
48,blue-collar,married,basic,no,no,telephone,may,tue,284,2,999,0,nonexistent,no
46,blue-collar,married,basic,yes,no,telephone,may,tue,147,2,999,0,nonexistent,no
51,management,married,university,yes,no,telephone,may,tue,170,3,999,0,nonexistent,no
39,services,married,high_school,no,no,telephone,may,tue,218,4,999,0,nonexistent,no
41,admin,married,basic,yes,no,telephone,may,tue,241,3,999,0,nonexistent,no
46,blue-collar,married,basic,yes,no,telephone,may,tue,145,1,999,0,nonexistent,no
30,admin,single,university,no,no,telephone,may,tue,246,1,999,0,nonexistent,no
45,technician,single,university,yes,no,telephone,may,tue,37,2,999,0,nonexistent,no
55,management,divorced,university,yes,no,telephone,may,tue,90,5,999,0,nonexistent,no
54,retired,married,high_school,yes,no,telephone,may,tue,412,1,999,0,nonexistent,no
36,technician,single,university,no,no,telephone,may,tue,211,2,999,0,nonexistent,no
30,management,single,university,yes,no,telephone,may,tue,312,3,999,0,nonexistent,no
33,housemaid,divorced,university,no,no,telephone,may,tue,392,1,999,0,nonexistent,no
33,blue-collar,married,high_school,no,no,telephone,may,tue,328,1,999,0,nonexistent,no
32,housemaid,married,high_school,yes,no,telephone,may,tue,100,1,999,0,nonexistent,no
32,housemaid,married,high_school,no,no,telephone,may,tue,226,1,999,0,nonexistent,no
33,self-employed,single,university,no,no,telephone,may,tue,739,3,999,0,nonexistent,no
42,admin,single,unknown,yes,no,telephone,may,tue,339,3,999,0,nonexistent,no
27,technician,married,basic,no,yes,telephone,may,tue,245,2,999,0,nonexistent,no
31,admin,single,university,no,no,telephone,may,tue,189,2,999,0,nonexistent,no
48,technician,married,basic,no,no,telephone,may,tue,118,2,999,0,nonexistent,no
45,housemaid,married,university,yes,no,telephone,may,tue,1597,2,999,0,nonexistent,yes
36,self-employed,married,university,no,no,telephone,may,tue,346,2,999,0,nonexistent,no
49,management,married,university,yes,no,telephone,may,tue,107,2,999,0,nonexistent,no
40,admin,divorced,university,yes,no,telephone,may,tue,189,3,999,0,nonexistent,no
53,admin,married,university,yes,no,telephone,may,tue,13,6,999,0,nonexistent,no
38,self-employed,divorced,basic,yes,no,telephone,may,tue,95,3,999,0,nonexistent,no
42,admin,married,university,yes,no,telephone,may,tue,254,2,999,0,nonexistent,no
48,blue-collar,married,university,no,no,telephone,may,tue,207,3,999,0,nonexistent,no
44,technician,single,university,yes,yes,telephone,may,tue,139,2,999,0,nonexistent,no
39,blue-collar,divorced,basic,yes,no,telephone,may,tue,305,2,999,0,nonexistent,no
29,admin,single,university,no,no,telephone,may,tue,122,3,999,0,nonexistent,no
60,blue-collar,married,university,no,no,telephone,may,tue,59,3,999,0,nonexistent,no
37,blue-collar,married,basic,yes,no,telephone,may,wed,148,3,999,0,nonexistent,no
30,technician,married,university,no,no,telephone,may,wed,118,3,999,0,nonexistent,no
44,self-employed,married,university,no,no,telephone,may,wed,202,2,999,0,nonexistent,no
30,student,single,high_school,no,no,telephone,may,wed,216,3,999,0,nonexistent,no
37,blue-collar,married,basic,unknown,unknown,telephone,may,wed,195,2,999,0,nonexistent,no
41,blue-collar,married,basic,yes,no,telephone,may,wed,188,2,999,0,nonexistent,no
43,technician,married,basic,yes,no,telephone,may,wed,261,3,999,0,nonexistent,no
36,technician,divorced,university,no,no,telephone,may,wed,446,1,999,0,nonexistent,no
44,management,single,university,yes,yes,telephone,may,wed,91,1,999,0,nonexistent,no
33,blue-collar,married,basic,unknown,unknown,telephone,may,wed,97,1,999,0,nonexistent,no
35,entrepreneur,single,university,no,no,telephone,may,wed,268,1,999,0,nonexistent,no
36,admin,married,high_school,no,no,telephone,may,wed,152,3,999,0,nonexistent,no
35,technician,married,basic,no,no,telephone,may,wed,104,2,999,0,nonexistent,no
26,admin,single,high_school,no,no,telephone,may,wed,416,2,999,0,nonexistent,no
31,admin,single,university,yes,yes,telephone,may,wed,174,1,999,0,nonexistent,no
57,self-employed,single,high_school,no,no,telephone,may,wed,139,1,999,0,nonexistent,no
50,admin,married,university,no,no,telephone,may,wed,102,1,999,0,nonexistent,no
54,management,married,high_school,yes,no,telephone,may,wed,74,1,999,0,nonexistent,no
31,management,single,university,yes,no,telephone,may,wed,254,1,999,0,nonexistent,no
30,management,divorced,high_school,no,yes,telephone,may,wed,149,1,999,0,nonexistent,no
52,technician,married,university,yes,no,telephone,may,wed,133,2,999,0,nonexistent,no
49,entrepreneur,married,basic,yes,no,telephone,may,wed,439,1,999,0,nonexistent,no
45,blue-collar,married,basic,yes,no,telephone,may,wed,142,1,999,0,nonexistent,no
45,blue-collar,married,basic,no,no,telephone,may,wed,121,1,999,0,nonexistent,no
43,technician,married,university,yes,no,telephone,may,wed,274,4,999,0,nonexistent,no
31,admin,single,university,yes,no,telephone,may,wed,325,2,999,0,nonexistent,no
50,entrepreneur,married,basic,yes,yes,telephone,may,wed,161,1,999,0,nonexistent,no
40,technician,married,university,yes,no,telephone,may,wed,327,3,999,0,nonexistent,no
31,blue-collar,married,basic,no,no,telephone,may,wed,109,1,999,0,nonexistent,no
31,services,married,basic,yes,no,telephone,may,wed,492,2,999,0,nonexistent,no
45,housemaid,married,basic,yes,no,telephone,may,wed,83,2,999,0,nonexistent,no
35,blue-collar,married,unknown,yes,yes,telephone,may,wed,52,1,999,0,nonexistent,no
33,blue-collar,married,high_school,yes,no,telephone,may,wed,233,1,999,0,nonexistent,no
28,unknown,single,basic,yes,no,telephone,may,wed,99,2,999,0,nonexistent,no
43,unknown,married,high_school,no,no,telephone,may,wed,463,1,999,0,nonexistent,no
30,admin,single,university,no,no,telephone,may,wed,25,1,999,0,nonexistent,no
38,services,single,unknown,yes,no,telephone,may,wed,256,6,999,0,nonexistent,no
44,admin,married,high_school,yes,no,telephone,may,wed,378,1,999,0,nonexistent,no
32,management,married,basic,no,no,telephone,may,wed,150,1,999,0,nonexistent,no
52,technician,married,basic,no,yes,telephone,may,wed,388,1,999,0,nonexistent,no
32,technician,single,university,no,no,telephone,may,wed,245,1,999,0,nonexistent,no
35,admin,single,high_school,no,no,telephone,may,wed,799,1,999,0,nonexistent,no
28,blue-collar,married,basic,no,yes,telephone,may,wed,109,1,999,0,nonexistent,no
47,services,married,high_school,yes,no,telephone,may,wed,127,1,999,0,nonexistent,no
48,retired,married,basic,yes,no,telephone,may,wed,120,1,999,0,nonexistent,no
49,blue-collar,married,basic,yes,no,telephone,may,wed,49,3,999,0,nonexistent,no
54,retired,married,basic,yes,no,telephone,may,wed,421,2,999,0,nonexistent,no
29,admin,single,high_school,yes,no,telephone,may,wed,511,2,999,0,nonexistent,no
54,management,married,high_school,yes,yes,telephone,may,wed,328,2,999,0,nonexistent,no
48,management,divorced,university,yes,no,telephone,may,wed,866,2,999,0,nonexistent,no
42,services,divorced,high_school,no,no,telephone,may,wed,117,1,999,0,nonexistent,no
52,technician,married,high_school,yes,no,telephone,may,wed,530,2,999,0,nonexistent,no
35,technician,divorced,unknown,yes,yes,telephone,may,wed,432,1,999,0,nonexistent,no
36,housemaid,divorced,basic,no,no,telephone,may,wed,179,2,999,0,nonexistent,no
47,services,married,unknown,no,no,telephone,may,wed,262,2,999,0,nonexistent,no
33,admin,married,university,no,no,telephone,may,wed,55,1,999,0,nonexistent,no
34,entrepreneur,married,basic,yes,no,telephone,may,wed,474,1,999,0,nonexistent,no
55,blue-collar,married,basic,yes,yes,telephone,may,wed,1101,1,999,0,nonexistent,no
51,unemployed,married,university,no,no,telephone,may,wed,912,2,999,0,nonexistent,no
39,services,single,high_school,unknown,unknown,telephone,may,wed,239,2,999,0,nonexistent,no
39,technician,single,basic,no,no,telephone,may,wed,362,1,999,0,nonexistent,no
39,services,married,basic,no,no,telephone,may,wed,274,1,999,0,nonexistent,no
32,entrepreneur,married,basic,yes,no,telephone,may,wed,163,1,999,0,nonexistent,no
38,blue-collar,divorced,unknown,no,no,telephone,may,wed,258,3,999,0,nonexistent,no
36,unemployed,married,basic,yes,no,telephone,may,wed,170,1,999,0,nonexistent,no
44,services,married,high_school,yes,no,telephone,may,wed,78,5,999,0,nonexistent,no
51,management,married,university,no,no,telephone,may,wed,194,1,999,0,nonexistent,no
50,technician,married,high_school,no,no,telephone,may,wed,224,5,999,0,nonexistent,no
35,admin,single,basic,no,no,telephone,may,wed,331,1,999,0,nonexistent,no
32,admin,single,high_school,no,no,telephone,may,wed,103,2,999,0,nonexistent,no
44,technician,married,university,no,no,telephone,may,wed,203,1,999,0,nonexistent,no
37,blue-collar,single,basic,no,no,telephone,may,wed,119,3,999,0,nonexistent,no
32,services,divorced,high_school,yes,no,telephone,may,wed,245,2,999,0,nonexistent,no
30,services,married,university,no,no,telephone,may,wed,257,1,999,0,nonexistent,no
41,technician,single,university,no,no,telephone,may,wed,79,8,999,0,nonexistent,no
51,blue-collar,married,basic,yes,no,telephone,may,wed,263,6,999,0,nonexistent,no
47,retired,married,basic,unknown,unknown,telephone,may,wed,441,2,999,0,nonexistent,no
37,admin,married,high_school,yes,no,telephone,may,wed,128,2,999,0,nonexistent,no
47,management,married,university,no,no,telephone,may,wed,550,3,999,0,nonexistent,no
32,management,divorced,basic,no,no,telephone,may,wed,396,4,999,0,nonexistent,no
39,technician,married,university,unknown,unknown,telephone,may,wed,50,2,999,0,nonexistent,no
60,services,married,unknown,no,no,telephone,may,wed,283,1,999,0,nonexistent,no
42,admin,married,university,yes,no,telephone,may,wed,103,4,999,0,nonexistent,no
51,blue-collar,married,basic,yes,no,telephone,may,wed,244,7,999,0,nonexistent,no
42,services,married,high_school,no,no,telephone,may,wed,191,2,999,0,nonexistent,no
31,technician,married,university,yes,no,telephone,may,wed,157,6,999,0,nonexistent,no
51,services,divorced,basic,no,yes,telephone,may,wed,114,3,999,0,nonexistent,no
36,blue-collar,married,unknown,yes,yes,telephone,may,wed,161,3,999,0,nonexistent,no
60,services,married,unknown,yes,no,telephone,may,wed,333,1,999,0,nonexistent,no
34,management,married,university,yes,no,telephone,may,wed,155,1,999,0,nonexistent,no
46,admin,single,university,unknown,unknown,telephone,may,wed,74,1,999,0,nonexistent,no
30,blue-collar,married,basic,no,no,telephone,may,wed,275,2,999,0,nonexistent,no
54,admin,divorced,university,no,no,telephone,may,wed,1689,4,999,0,nonexistent,yes
58,self-employed,married,university,yes,no,telephone,may,wed,84,2,999,0,nonexistent,no
35,admin,married,university,no,no,telephone,may,wed,41,3,999,0,nonexistent,no
31,blue-collar,married,basic,no,no,telephone,may,wed,196,2,999,0,nonexistent,no
45,blue-collar,married,basic,yes,no,telephone,may,wed,944,3,999,0,nonexistent,no
31,services,single,high_school,yes,no,telephone,may,wed,17,2,999,0,nonexistent,no
35,admin,single,basic,no,no,telephone,may,wed,309,2,999,0,nonexistent,no
58,admin,married,university,no,yes,telephone,may,thu,162,2,999,0,nonexistent,no
42,services,married,university,yes,no,telephone,may,thu,813,1,999,0,nonexistent,yes
48,blue-collar,married,university,yes,no,telephone,may,thu,194,1,999,0,nonexistent,no
39,admin,married,basic,no,no,telephone,may,thu,328,2,999,0,nonexistent,no
51,technician,married,university,no,yes,telephone,may,thu,193,1,999,0,nonexistent,no
47,blue-collar,married,basic,yes,yes,telephone,may,thu,93,1,999,0,nonexistent,no
28,blue-collar,married,basic,no,no,telephone,may,thu,149,1,999,0,nonexistent,no
48,blue-collar,married,basic,yes,no,telephone,may,thu,604,1,999,0,nonexistent,no
46,blue-collar,married,basic,no,no,telephone,may,thu,202,1,999,0,nonexistent,no
32,management,single,university,no,no,telephone,may,thu,75,1,999,0,nonexistent,no
30,services,married,high_school,no,no,telephone,may,thu,80,1,999,0,nonexistent,no
48,unemployed,married,basic,yes,yes,telephone,may,thu,56,1,999,0,nonexistent,no
40,technician,married,university,no,no,telephone,may,thu,66,2,999,0,nonexistent,no
30,housemaid,married,high_school,no,no,telephone,may,thu,159,1,999,0,nonexistent,no
36,blue-collar,married,basic,no,no,telephone,may,thu,166,1,999,0,nonexistent,no
44,blue-collar,married,basic,no,yes,telephone,may,thu,285,1,999,0,nonexistent,no
32,blue-collar,married,university,no,no,telephone,may,thu,1119,1,999,0,nonexistent,yes
32,blue-collar,married,basic,no,no,telephone,may,thu,60,1,999,0,nonexistent,no
44,technician,single,high_school,no,no,telephone,may,thu,216,1,999,0,nonexistent,no
32,student,single,university,no,no,telephone,may,thu,107,1,999,0,nonexistent,no
32,student,single,university,yes,no,telephone,may,thu,147,1,999,0,nonexistent,no
43,blue-collar,married,basic,no,no,telephone,may,thu,190,1,999,0,nonexistent,no
43,technician,single,university,yes,no,telephone,may,thu,1120,2,999,0,nonexistent,yes
48,technician,married,university,yes,no,telephone,may,thu,306,1,999,0,nonexistent,no
39,blue-collar,married,basic,no,no,telephone,may,thu,124,1,999,0,nonexistent,no
31,admin,married,high_school,no,no,telephone,may,thu,784,1,999,0,nonexistent,no
41,technician,married,university,yes,yes,telephone,may,thu,87,2,999,0,nonexistent,no
55,retired,married,university,no,no,telephone,may,thu,207,1,999,0,nonexistent,no
60,services,married,high_school,yes,no,telephone,may,thu,154,1,999,0,nonexistent,no
38,entrepreneur,married,basic,no,no,telephone,may,thu,229,1,999,0,nonexistent,no
44,technician,divorced,high_school,no,no,telephone,may,thu,21,1,999,0,nonexistent,no
25,services,divorced,high_school,yes,no,telephone,may,thu,147,1,999,0,nonexistent,no
27,housemaid,married,basic,yes,no,telephone,may,thu,160,1,999,0,nonexistent,no
37,unemployed,married,university,no,yes,telephone,may,thu,110,1,999,0,nonexistent,no
39,management,married,university,no,no,telephone,may,thu,1007,1,999,0,nonexistent,no
26,services,divorced,basic,no,no,telephone,may,thu,186,1,999,0,nonexistent,no
33,management,married,high_school,no,no,telephone,may,thu,96,1,999,0,nonexistent,no
45,admin,married,university,no,no,telephone,may,thu,319,1,999,0,nonexistent,no
47,blue-collar,married,basic,yes,no,telephone,may,thu,194,3,999,0,nonexistent,no
39,unemployed,married,university,yes,no,telephone,may,thu,168,2,999,0,nonexistent,no
30,blue-collar,married,basic,yes,no,telephone,may,thu,180,1,999,0,nonexistent,no
30,admin,divorced,high_school,yes,no,telephone,may,thu,177,1,999,0,nonexistent,no
54,entrepreneur,married,basic,no,yes,telephone,may,thu,108,1,999,0,nonexistent,no
33,management,married,university,no,no,telephone,may,thu,178,2,999,0,nonexistent,no
20,entrepreneur,single,high_school,no,no,telephone,may,thu,238,1,999,0,nonexistent,no
28,blue-collar,married,basic,yes,no,telephone,may,thu,347,2,999,0,nonexistent,no
32,admin,single,high_school,unknown,unknown,telephone,may,thu,155,2,999,0,nonexistent,no
35,blue-collar,married,basic,no,no,telephone,may,thu,343,2,999,0,nonexistent,no
43,admin,married,high_school,yes,no,telephone,may,thu,152,2,999,0,nonexistent,no
38,blue-collar,single,basic,no,no,telephone,may,thu,28,3,999,0,nonexistent,no
38,blue-collar,single,basic,no,no,telephone,may,thu,30,2,999,0,nonexistent,no
35,technician,married,university,no,yes,telephone,may,thu,32,2,999,0,nonexistent,no
39,services,single,high_school,no,no,telephone,may,thu,302,2,999,0,nonexistent,no
36,blue-collar,married,basic,no,no,telephone,may,thu,31,1,999,0,nonexistent,no
34,blue-collar,married,basic,no,no,telephone,may,thu,210,1,999,0,nonexistent,no
33,management,married,high_school,no,no,telephone,may,thu,234,1,999,0,nonexistent,no
31,services,married,basic,no,no,telephone,may,thu,2087,2,999,0,nonexistent,yes
47,admin,married,university,no,no,telephone,may,thu,42,1,999,0,nonexistent,no
28,self-employed,single,university,no,no,telephone,may,thu,77,1,999,0,nonexistent,no
37,blue-collar,married,basic,no,no,telephone,may,thu,219,2,999,0,nonexistent,no
38,entrepreneur,married,basic,yes,yes,telephone,may,thu,205,2,999,0,nonexistent,no
31,technician,divorced,university,yes,yes,telephone,may,thu,453,2,999,0,nonexistent,no
43,unemployed,married,basic,yes,no,telephone,may,thu,305,2,999,0,nonexistent,no
51,blue-collar,divorced,basic,no,no,telephone,may,thu,119,2,999,0,nonexistent,no
38,blue-collar,married,basic,yes,no,telephone,may,thu,403,2,999,0,nonexistent,no
46,blue-collar,divorced,basic,no,no,telephone,may,thu,266,1,999,0,nonexistent,no
49,admin,divorced,basic,yes,no,telephone,may,thu,312,3,999,0,nonexistent,no
43,blue-collar,married,basic,no,no,telephone,may,thu,263,2,999,0,nonexistent,no
51,blue-collar,married,basic,yes,no,telephone,may,thu,1178,2,999,0,nonexistent,yes
28,blue-collar,married,basic,yes,yes,telephone,may,thu,318,2,999,0,nonexistent,no
39,blue-collar,married,basic,no,no,telephone,may,thu,285,1,999,0,nonexistent,no
31,admin,married,high_school,yes,yes,telephone,may,thu,151,2,999,0,nonexistent,no
34,blue-collar,married,basic,no,yes,telephone,may,thu,159,2,999,0,nonexistent,no
45,blue-collar,single,basic,no,no,telephone,may,thu,78,3,999,0,nonexistent,no
